# work: tlg0011.tlg004
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
1	1	exact	1.000	
2	2	match	0.982	
3	3	exact	1.000	
4	4	match	0.982	
5	5	exact	1.000	
6	6	match	0.982	
7	7	match	0.981	
8	8	exact	1.000	
9	9	match	0.966	
10	10	exact	1.000	
11	11	exact	1.000	
12	12	exact	1.000	
13	13	match	0.984	
14	14	match	0.983	
15	15	exact	1.000	
16	16	exact	1.000	
17	17	exact	1.000	
18	18	match	0.981	
19	19	match	0.984	
20	20	exact	1.000	
21	21	match	0.982	
22	22	exact	1.000	
23	23	exact	1.000	
24	24	match	0.982	
25	25	exact	1.000	
26	26	match	0.986	
27	27	match	0.984	
28	28	exact	1.000	
29	29	match	0.968	
30	30	exact	1.000	
31	31	match	0.982	
32	32	match	0.966	
33	33	exact	1.000	
34	34	exact	1.000	
35	35	match	0.947	
36	36	exact	1.000	
37	37	match	0.968	
38	38	match	0.984	
39	39	match	0.982	
40	40	match	0.984	
41	41	exact	1.000	
42	42	exact	1.000	
43	43	match	0.938	
44	44	exact	1.000	
45	45	exact	1.000	
46	46	match	0.966	
47	47	match	0.963	
48	48	exact	1.000	
49	49	exact	1.000	
50	50	match	0.985	
51	51	match	0.967	
52	52	match	0.982	
53	53	exact	1.000	
54	54	exact	1.000	
55	55	exact	1.000	
56	56	exact	1.000	
57	57	exact	1.000	
58	58	exact	1.000	
59	59	match	0.968	
60	60	exact	1.000	
61	61	exact	1.000	
62	62	match	0.983	
63	63	match	0.951	
64	64	match	0.983	
65	65	match	0.951	
66	66	match	0.983	
67	67	match	0.986	
68	68	match	0.949	
69	69	exact	1.000	
70	70	match	0.984	
71	71	match	0.966	
72	72	exact	1.000	
73	73	match	0.984	
74	74	exact	1.000	
75	75	match	0.967	
76	76	match	0.964	
77	77	match	0.967	
78	78	match	0.952	
79	79	exact	1.000	
80	80	exact	1.000	
81	81	exact	1.000	
82	82	match	0.982	
83	83	match	0.985	
84	84	match	0.985	
85	85	exact	1.000	
86	86	exact	1.000	
87	87	match	0.984	
88	88	match	0.969	
89	89	exact	1.000	
90	90	match	0.984	
91	91	exact	1.000	
92	92	exact	1.000	
93	93	exact	1.000	
94	94	exact	1.000	
95	95	match	0.964	
96	96	exact	1.000	
97	97	exact	1.000	
98	98	match	0.970	
99	99	exact	1.000	
100	100	exact	1.000	
101	101	match	0.983	
102	102	exact	1.000	
103	103	match	0.980	
104	104	match	0.985	
105	105	match	0.982	
106	106	exact	1.000	
107	107	exact	1.000	
108	108	match	0.968	
109	109	exact	1.000	
110	110	match	0.982	
111	111	match	0.982	
112	112	match	0.951	
113	113	match	0.982	
114	114	exact	1.000	
115	115	match	0.966	
116	116	match	0.984	
117	117	match	0.967	
118	118	exact	1.000	
119	119	match	0.984	
120	120	match	0.984	
121	121	exact	1.000	
122	122	exact	1.000	
123	123	exact	1.000	
124	124	exact	1.000	
125	125	match	0.952	
126	126	match	0.966	
127	127	exact	1.000	
128	128	exact	1.000	
129	129	match	0.984	
130	130	match	0.985	
131	131	exact	1.000	
132	132	match	0.964	
133	133	exact	1.000	
134	134	match	0.957	
135	135	match	0.982	
136	136	match	0.980	
137	137	exact	1.000	
138	138	match	0.968	
139	139	match	0.983	
140	140	match	0.903	
141	141	exact	1.000	
142	142	match	0.985	
143	143	match	0.985	
144	144	match	0.982	
145	145	exact	1.000	
146	146	match	0.982	
147	147	exact	1.000	
148	148	match	0.967	
149	149	match	0.984	
150	150	match	0.951	
151	151	exact	1.000	
152	152	exact	1.000	
153	153	exact	1.000	
154	154	exact	1.000	
155	155	exact	1.000	
156	156	exact	1.000	
157	157	exact	1.000	
160	159	match	0.987	
161	160	match	0.971	
162	161	match	0.988	
163	162	exact	1.000	
164	163	exact	1.000	
165	165	exact	1.000	
166	166	match	0.987	
169	167	exact	1.000	
170	168	match	0.990	
171	171	exact	1.000	
172	172	exact	1.000	
173	174	exact	1.000	
175	175	match	0.987	
176	176	exact	1.000	
177	177	exact	1.000	
179	178	exact	1.000	
180	179	exact	1.000	
181	180	match	0.963	
182	182	match	0.906	
183	185	match	0.985	
185	186	exact	1.000	
186	187	exact	1.000	
187	188	exact	1.000	
190	189	exact	1.000	
191	190	match	0.941	
192	191	exact	1.000	
193	192,193	split_merge	0.986	
195	194	match	0.930	
196	195	exact	1.000	
197	196	match	0.973	
198	197	match	0.944	
199	198	match	0.889	
200	199	exact	1.000	
201	200	exact	1.000	
203	203	match	0.987	
204	205	match	0.968	
205	206	match	0.984	
206	207,208	split_merge	0.986	
207	209	exact	1.000	
210	210	match	0.968	
211	211	exact	1.000	
212	212	exact	1.000	
213	213	match	0.971	
214	214	match	0.933	
215	215	match	0.967	
216	216	match	0.966	
217	217	match	0.983	
218	218	exact	1.000	
219	219	match	0.982	
220	220	exact	1.000	
221	221	exact	1.000	
222	222	match	0.985	
223	223	exact	1.000	
224	224	match	0.982	
225	225	exact	1.000	
226	226	exact	1.000	
227	227	match	0.938	
228	228	match	0.952	
229	229	match	0.984	
230	230	match	0.984	
231	231	exact	1.000	
232	232	match	0.969	
233	233	match	0.982	
234	234	exact	1.000	
235	235	exact	1.000	
236	236	match	0.984	
237	237	match	0.984	
238	238	match	0.969	
239	239	match	0.982	
240	240	match	0.954	
241	241	match	0.968	
242	242	match	0.982	
243	243	exact	1.000	
244	244	exact	1.000	
245	245	match	0.983	
246	246	exact	1.000	
247	247	exact	1.000	
248	248	exact	1.000	
249	249	match	0.983	
250	250	match	0.984	
251	251	match	0.983	
252	252	match	0.984	
253	253	match	0.982	
254	254	match	0.982	
255	255	match	0.982	
256	256	exact	1.000	
257	257	match	0.969	
258	258	match	0.949	
259	259	exact	1.000	
260	260	match	0.984	
261	261	match	0.985	
262	262	match	0.981	
263	263	match	0.935	
264	264	match	0.968	
265	265	match	0.982	
266	266	exact	1.000	
267	267	exact	1.000	
268	268	match	0.985	
269	269	exact	1.000	
270	270	match	0.983	
271	271	match	0.984	
272	272	match	0.984	
273	273	exact	1.000	
274	274	match	0.951	
275	275	exact	1.000	
276	276	match	0.964	
277	277	match	0.968	
278	278	exact	1.000	
279	279	match	0.985	
280	280	match	0.966	
281	281	match	0.967	
282	282	match	0.954	
283	283	match	0.985	
284	284	match	0.951	
285	285	match	0.984	
286	286	match	0.983	
287	287	match	0.939	
288	288	exact	1.000	
289	289	exact	1.000	
290	290	match	0.966	
291	291	exact	1.000	
292	292	exact	1.000	
293	293	match	0.966	
294	294	match	0.885	
295	295	match	0.983	
296	296	match	0.968	
297	297	match	0.951	
298	298	match	0.982	
299	299	exact	1.000	
300	300	exact	1.000	
301	301	match	0.983	
302	302	match	0.986	
303	303	exact	1.000	
304	304	match	0.983	
305	305	match	0.952	
306	306	exact	1.000	
307	307	exact	1.000	
308	308	exact	1.000	
309	309	exact	1.000	
310	310	match	0.918	
311	311	match	0.984	
312	312	match	0.983	
313	313	exact	1.000	
314	314	match	0.968	
315	315	exact	1.000	
316	316	exact	1.000	
317	317	exact	1.000	
318	318	match	0.983	
319	319	match	0.982	
320	320	match	0.984	
321	321	exact	1.000	
322	322	match	0.968	
323	323	match	0.951	
324	324	match	0.981	
325	325	match	0.984	
326	326	match	0.984	
327	327	match	0.984	
328	328	match	0.984	
329	329	match	0.963	
330	330	match	0.985	
331	331	exact	1.000	
332	332	match	0.952	
333	333	exact	1.000	
334	334	exact	1.000	
335	335	match	0.982	
336	336	match	0.968	
337	337	match	0.983	
338	338	match	0.984	
339	339	match	0.968	
340	340	match	0.983	
341	341	exact	1.000	
342	342	match	0.984	
343	343	match	0.985	
344	344	exact	1.000	
345	345	match	0.982	
346	346	exact	1.000	
347	347	match	0.986	
348	348	match	0.984	
349	349	match	0.985	
350	350	exact	1.000	
351	351	match	0.983	
352	352	match	0.984	
353	353	match	0.982	
354	354	exact	1.000	
355	355	exact	1.000	
356	356	exact	1.000	
357	357	exact	1.000	
358	358	match	0.986	
359	359	match	0.984	
360	360	match	0.918	
361	361	match	0.972	
362	362	exact	1.000	
363	363	match	0.984	
364	364	match	0.982	
365	365	exact	1.000	
366	366	exact	1.000	
367	367	match	0.955	
368	368	match	0.984	
369	369	match	0.983	
370	370	match	0.957	
371	371	match	0.954	
372	372	match	0.966	
373	373	match	0.982	
374	374	match	0.984	
375	375	match	0.968	
376	376	match	0.984	
377	377	match	0.984	
378	378	exact	1.000	
379	379	match	0.969	
380	380	exact	1.000	
381	381	exact	1.000	
382	382	match	0.982	
383	383	match	0.967	
384	384	exact	1.000	
385	385	exact	1.000	
386	386	match	0.984	
387	387	exact	1.000	
388	388	exact	1.000	
389	389	match	0.984	
390	390	match	0.983	
391	391	match	0.929	
392	392	match	0.984	
393	393	match	0.969	
394	394	exact	1.000	
395	395	match	0.966	
396	396	match	0.967	
397	397	exact	1.000	
398	398	match	0.966	
399	399	exact	1.000	
400	400	exact	1.000	
401	401	exact	1.000	
402	402	match	0.982	
403	403	exact	1.000	
404	404	match	0.982	
405	405	match	0.968	
406	406	match	0.968	
407	407	match	0.984	
408	408	exact	1.000	
409	409	match	0.982	
410	410	exact	1.000	
411	411	match	0.985	
412	412	match	0.968	
413	413	exact	1.000	
414	414	match	0.968	
415	415	match	0.952	
416	416	exact	1.000	
417	417	match	0.986	
418	418	match	0.982	
419	419	match	0.984	
420	420	exact	1.000	
421	421	exact	1.000	
422	422	exact	1.000	
423	423	exact	1.000	
424	424	exact	1.000	
425	425	match	0.985	
426	426	exact	1.000	
427	427	exact	1.000	
428	428	exact	1.000	
429	429	match	0.984	
430	430	exact	1.000	
431	431	match	0.984	
432	432	match	0.947	
433	433	match	0.964	
434	434	match	0.985	
435	435	match	0.984	
436	436	match	0.968	
437	437	match	0.984	
438	438	match	0.981	
439	439	match	0.983	
440	440	match	0.985	
441	441	match	0.954	
442	442	match	0.981	
443	443	match	0.952	
444	444	exact	1.000	
445	445	match	0.931	
446	446	match	0.955	
447	447	match	0.900	
448	448	match	0.970	
449	449	exact	1.000	
450	450	exact	1.000	
451	451	exact	1.000	
452	452	match	0.983	
453	453	match	0.982	
454	454	exact	1.000	
455	455	exact	1.000	
456	456	exact	1.000	
457	457	exact	1.000	
458	458	exact	1.000	
459	459	exact	1.000	
460	460	exact	1.000	
461	461	exact	1.000	
462	462	match	0.984	
463	463	match	0.971	
465	465	match	0.986	
466	466	exact	1.000	
467	467	exact	1.000	
468	468	exact	1.000	
469	469	match	0.982	
470	470	exact	1.000	
471	471	match	0.941	
472	472	exact	1.000	
473	473	exact	1.000	
474	475	match	0.987	
475	476	match	0.970	
476	477	match	0.970	
477	478	match	0.897	
478	479	exact	1.000	
480	480	exact	1.000	
481	481	match	0.963	
482	482	exact	1.000	
483	483	exact	1.000	
485	485	match	0.949	
486	486	match	0.946	
487	487	match	0.971	
490	488	match	0.839	
491	489	match	0.800	
492	495	exact	1.000	
495	496	exact	1.000	
496	497	match	0.976	
500	500	match	0.962	
501	501	match	0.957	
502	502	exact	1.000	
505	503	match	0.964	
506	504	match	0.969	
510	505	match	0.975	
511	511	match	0.980	
513	513	exact	1.000	
514	514	exact	1.000	
515	515	match	0.985	
516	516	match	0.985	
517	517	match	0.985	
518	518	exact	1.000	
519	519	exact	1.000	
520	520	exact	1.000	
521	521	match	0.984	
522	522	exact	1.000	
523	523	match	0.969	
524	524	exact	1.000	
525	525	match	0.970	
526	526	exact	1.000	
527	527	match	0.966	
528	528	match	0.984	
529	529	exact	1.000	
530	530	match	0.970	
531	531	match	0.962	
532	532	match	0.969	
533	533	exact	1.000	
534	534	exact	1.000	
535	535	match	0.984	
536	536	match	0.983	
537	537	match	0.954	
538	538	match	0.982	
539	539	exact	1.000	
540	540	match	0.983	
541	541	exact	1.000	
542	542	match	0.984	
543	543	match	0.966	
544	544	match	0.984	
545	545	match	0.985	
546	546	match	0.938	
547	547	match	0.968	
548	548	match	0.969	
549	549	exact	1.000	
550	550	exact	1.000	
551	551	exact	1.000	
552	552	exact	1.000	
553	553	match	0.969	
554	554	match	0.983	
555	555	match	0.983	
556	556	exact	1.000	
557	557	match	0.983	
558	558	match	0.982	
559	559	exact	1.000	
560	560	exact	1.000	
561	561	match	0.985	
562	562	match	0.983	
563	563	match	0.982	
564	564	match	0.966	
565	565	match	0.984	
566	566	match	0.935	
567	567	match	0.984	
568	568	match	0.984	
569	569	match	0.968	
570	570	match	0.985	
571	571	match	0.968	
572	572	match	0.967	
573	573	match	0.981	
574	574	match	0.968	
575	575	match	0.984	
576	576	exact	1.000	
577	577	match	0.983	
578	578	exact	1.000	
579	579	match	0.984	
580	580	match	0.982	
581	581	exact	1.000	
582	582	exact	1.000	
583	583	match	0.982	
584	584	match	0.985	
585	585	exact	1.000	
586	586	match	0.954	
