ref_line	ref_widx	lemma	n_readings	apparatus	omit
129	733	προσνισσομένους	2	προσνισσομένους, [dain,dawe,hermann,jebb,reinhardt,storr]  |  προσνισομένους, [colonna,pearson]	
130	736	ὑπεροπλίαις,	2	ὑπεροπλίαις. [colonna,dain,dawe,jebb,reinhardt,storr]  |  ὑπερόπτας, [hermann,pearson]	
134	747	ἀντιτύπᾳ	2	ἀντιτύπᾳ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀντίτυπα [hermann]	
138	766	ἄλλᾳ	2	ἄλλᾳ [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  †ἄλλα [dawe]	
138	768	μέν,	2	μέν, [colonna,dain,jebb,pearson,reinhardt,storr]  |  δ᾽ [dawe]	hermann
139	773	ἐπενώμα	2	ἐπενώμα [colonna,dain,hermann,jebb,reinhardt,storr]  |  ἐπενώ- [pearson]	
139	774	στυφελίζων	2	στυφελίζων [dawe,hermann,jebb,pearson,reinhardt,storr]  |  στυφελί- [colonna,dain]	
151	829	θέσθαι	2	θέσθαι [colonna,dain,dawe,jebb,pearson,storr]  |  θέσθε [hermann,reinhardt]	
153	837	ἐπέλθωμεν,	2	ἐπέλθωμεν, [colonna,dain,hermann,jebb,reinhardt,storr]  |  ἐπέλ- [dawe,pearson]	
153	839	Θήβας	2	Θήβας [dawe,hermann,jebb,pearson,reinhardt,storr]  |  Θή- [colonna,dain]	
156	853	ἄρχων	4	⟨gap⟩ [dawe,hermann,pearson]  |  ἄρχων [colonna,storr]  |  ταγὸσ [dain]  |  σὺ [jebb]	reinhardt
180	984	ἐγκλῄσας	2	ἐγκλῄσας [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἐγκλείσας [hermann]	
187	1030	χθονὸς	2	χθονὸς [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  πόλεως [reinhardt]	
189	1039	σῴζουσα	2	σῴζουσα [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  σώζουσα, [hermann]	
195	1075	δόρει,	2	δορί, [colonna,dain,dawe,hermann,jebb,pearson,reinhardt]  |  δόρει, [storr]	
196	1082	ἀφαγνίσαι	2	ἐφαγνίσαι [colonna,dawe,hermann,jebb,reinhardt]  |  ἀφαγνίσαι [dain,pearson,storr]	
198	1094	Πολυνείκη	2	Πολυνείκην [colonna,dain,dawe,hermann,jebb]  |  Πολυνείκη [pearson,reinhardt,storr]	
201	1108	πρῆσαι	2	πρῆσαι [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  πέρσαι [dawe]	
201	1109	κατʼ	2	κατάκρας, [colonna,dain,hermann,pearson,reinhardt]  |  κατ᾽ [dawe,jebb,storr]	
203	1123	ἐκκεκήρυκται	2	ἐκκεκήρυκται [dain,dawe,jebb,pearson,reinhardt,storr]  |  ἐκκεκηρῦχθαι [colonna,hermann]	
206	1141	αἰκισθέν	2	αἰκισθέν [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  αἰκισθέντ᾽ [hermann]	
208	1151	τιμὴν	2	τιμὴν [colonna,dain,hermann,storr]  |  τιμῆι [dawe,jebb,pearson,reinhardt]	
208	1152	προέξουσʼ	2	προέξουσ᾽ [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  προρέξουσ᾽ [hermann]	
211	1175	Κρέον,	3	†Κρέον [dawe,hermann,jebb,reinhardt,storr]  |  ποεῖν, [colonna,pearson]  |  παθεῖν [dain]	
212	1179	κἀς	2	καὶ [colonna,dain,dawe,hermann,pearson,reinhardt]  |  κἀς [jebb,storr]	
213	1183	νόμῳ	2	νόμῳ [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  γόμωι [dawe]	
213	1187	που	2	πού [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  πάντ᾽ [hermann]	
213	1188	πάρεστί	4	γ’ [dain,dawe,jebb,pearson,reinhardt]  |  τ᾽ [colonna]  |  ἔνεστί [hermann]  |  πάρεστί [storr]	
215	1200	εἶτε	2	ἦτε [colonna,dain,dawe,hermann,jebb,pearson,reinhardt]  |  εἶτε [storr]	
218	1218	ἄλλο	2	ἄλλο [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἄλλῳ [hermann]	
223	1254	τάχους	2	τάχους [colonna,dain,dawe,hermann,jebb,reinhardt,storr]  |  σπουδῆς [pearson]	
230	1298	ἀλγύνει;	2	ἀλγυνῇ;» [colonna,dain,dawe,pearson,reinhardt]  |  ἀλγυνεῖ; [hermann,jebb,storr]	
231	1303	βραδύς.	2	βραδύς, [colonna,jebb,pearson,reinhardt,storr]  |  ταχύς, [dain,dawe,hermann]	
241	1369	στοχάζει	3	στοχάζῃ [colonna,dain,dawe,reinhardt]  |  στοχάζει, [hermann,jebb,storr]  |  στιχίζῃ [pearson]	
241	1370	κἀποφάργνυσαι	2	κἀποφράγνυσαι [colonna,dain,hermann,reinhardt]  |  κἀποφάργνυσαι [dawe,jebb,pearson,storr]	
242	1378	σημανῶν	2	σημανῶν [dawe,hermann,jebb,pearson,reinhardt,storr]  |  σημαίνων [colonna,dain]	
248	1412	φής;	2	φής; [hermann,jebb,pearson,reinhardt,storr]  |  φῇς; [colonna,dain,dawe]	
