# work: tlg0011.tlg007
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
256	256	exact	1.000	
257	257	exact	1.000	
258	258	exact	1.000	
259	259	exact	1.000	
260	260	exact	1.000	
261	261	exact	1.000	
262	262	exact	1.000	
263	263	match	0.970	
264	264	exact	1.000	
265	265	exact	1.000	
266	266	exact	1.000	
267	267	exact	1.000	
268	268	exact	1.000	
269	269	exact	1.000	
270	270	exact	1.000	
271	271	exact	1.000	
272	272	exact	1.000	
273	273	exact	1.000	
274	274	exact	1.000	
275	275	exact	1.000	
276	276	exact	1.000	
277	277	exact	1.000	
278	278	match	0.984	
279	279	exact	1.000	
280	280	exact	1.000	
281	281	exact	1.000	
282	282	exact	1.000	
283	283	exact	1.000	
284	284	exact	1.000	
285	285	exact	1.000	
286	286	exact	1.000	
287	287	exact	1.000	
288	288	exact	1.000	
289	289	exact	1.000	
290	290	exact	1.000	
291	291	exact	1.000	
292	292	exact	1.000	
293	293	exact	1.000	
294	294	exact	1.000	
295	295	exact	1.000	
296	296	exact	1.000	
297	297	exact	1.000	
298	298	match	0.968	
299	299	exact	1.000	
300	300	exact	1.000	
301	301	exact	1.000	
302	302	exact	1.000	
303	303	exact	1.000	
304	304	exact	1.000	
305	305	exact	1.000	
306	306	exact	1.000	
307	307	exact	1.000	
308	308	exact	1.000	
309	309	exact	1.000	
310	310	exact	1.000	
311	311	exact	1.000	
311a	311a	exact	1.000	
312	312	exact	1.000	
313	313	match	0.966	
314	314	exact	1.000	
315	315	exact	1.000	
316	316	exact	1.000	
317	317	exact	1.000	
318	318	exact	1.000	
319	319	exact	1.000	
320	320	exact	1.000	
321	321	exact	1.000	
322	322	exact	1.000	
322a	322a	exact	1.000	
323	323	exact	1.000	
324	324	exact	1.000	
325	325	exact	1.000	
326	326	exact	1.000	
327	327	exact	1.000	
327a	327a	exact	1.000	
	328	target_only	0.000	REVIEW
	328a	target_only	0.000	REVIEW
328	329	exact	1.000	
328a	329a	exact	1.000	
329	330	exact	1.000	
329a	330a	exact	1.000	
330		base_only	0.000	REVIEW
330a		base_only	0.000	REVIEW
331	331	exact	1.000	
331a	331a	match	0.950	
332	332	exact	1.000	
332a	332a	exact	1.000	
333	333	exact	1.000	
333a	333a	match	0.878	
334	334	exact	1.000	
335	335	match	0.967	
336	336	match	0.925	
337	337	exact	1.000	
338	338	exact	1.000	
339	339	exact	1.000	
340	340	exact	1.000	
341	341	exact	1.000	
342	342	exact	1.000	
343	343	exact	1.000	
344	344	exact	1.000	
345	345	exact	1.000	
346	346	exact	1.000	
347	347	exact	1.000	
348	348	exact	1.000	
349	349	exact	1.000	
350	350	match	0.984	
351	351	exact	1.000	
352	352	exact	1.000	
353	353	exact	1.000	
354	354	exact	1.000	
355	355	match	0.967	
356	356	exact	1.000	
357	357	exact	1.000	
358	358	exact	1.000	
359	359	exact	1.000	
360	360	exact	1.000	
361	361	exact	1.000	
362	362	exact	1.000	
363	363	exact	1.000	
364	364	exact	1.000	
365	365	exact	1.000	
366	366	exact	1.000	
367	367	match	0.968	
368	368	exact	1.000	
369	369	exact	1.000	
370	370	exact	1.000	
371	371	match	0.935	
372	372	exact	1.000	
373	373	exact	1.000	
