ref_line	ref_widx	lemma	n_readings	apparatus	omit
52	327	αὐτουργῷ	2	αὐτουργῷ [boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  αὐτουργοῦ [benloew]	
56	346	αὐτοκτονοῦντε	2	αὐτοκτονοῦντε, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  αὐτοκτενοῦντε [bothe]	
57	351	κατειργάσαντʼ	2	κατειργάσαντ᾽ [boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κατειργάσανθ᾽ [benloew]	
57	352	ἐπαλλήλοιν	3	ἐπαλλήλοιν [brown,colonna,dain,dawe,griffith,hermann,jebb,lj,reinhardt,storr]  |  ἐπ᾽ [boeckh,bothe,pearson]  |  ὑπ᾽ [benloew]	
71	440	ὁποῖά	2	ὁποῖά [benloew,bothe,brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  ὁποίᾳ [boeckh,hermann]	
76	473	αἰεὶ	2	αἰεὶ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,lj,pearson,reinhardt,storr]  |  ἀεὶ [jebb]	
76	475	σοὶ	2	σοὶ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,storr]  |  σὺ [lj,reinhardt]	
79	494	δρᾶν	2	δρᾶν [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  δρᾷν [benloew,bothe]	
82	510	οἴμοι	2	οἴμοι [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οἴ [bothe]	
83	521	πότμον.	2	πότμον. [benloew,boeckh,bothe,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  βίον. [brown,dawe]	
84	524	προμηνύσῃς	2	προμηνύσῃς [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  προμηνύσεις [benloew,bothe]	
85	529	κρυφῇ	2	κρυφῆι [brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  κρυφῆ [benloew,boeckh,bothe,hermann]	
86	536	οἴμοι,	2	οἴμοι, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οἶμαι [bothe]	
86	537	καταύδα·	2	καταύδα. [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  καταυδᾷν· [bothe]	
