# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: bothe1806-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
277	275	exact	1.000	
278	276	exact	1.000	
279	277	match	0.984	
280	278	match	0.970	
281	279	match	0.982	
282	280	exact	1.000	
283	281	exact	1.000	
284	282	exact	1.000	
285	283	exact	1.000	
286	284	exact	1.000	
287	285	exact	1.000	
288	286	exact	1.000	
289	287	exact	1.000	
290	288	exact	1.000	
291	289	match	0.982	
292	290	exact	1.000	
293	291	exact	1.000	
294	292	exact	1.000	
295	293	exact	1.000	
296	294	match	0.985	
297	295	match	0.984	
298	296	match	0.985	
299	297	match	0.987	
300	298	match	0.985	
301	299	exact	1.000	
302	300	exact	1.000	
303	301	match	0.984	
304	302	match	0.968	
305	303	match	0.966	
306	304	exact	1.000	
307	305	match	0.985	
308	306	exact	1.000	
309	307	match	0.985	
310	308	match	0.983	
311	309	match	0.945	
312	310	exact	1.000	
313	311	exact	1.000	
314	312	exact	1.000	
315	313	exact	1.000	
316	314	exact	1.000	
317	315	match	0.982	
318	316	exact	1.000	
319	317	match	0.947	
320	318	match	0.943	
321	319	match	0.800	
322	320	match	0.970	
323	321	exact	1.000	
323a	322	match	0.877	
324	323	exact	1.000	
325	324	match	0.984	
326	325	exact	1.000	
327	326	match	0.966	
328	327	exact	1.000	
329	328	match	0.967	
330	329	match	0.985	
331	330	exact	1.000	
333	331,332	split_merge	1.000	
334	333,334	split_merge	1.000	
335	335	match	0.973	
336	336	match	0.867	
337	337	exact	1.000	
338	338	exact	1.000	
339	339	exact	1.000	
340	340	exact	1.000	
343	341,342	split_merge	1.000	
345	343,344	split_merge	0.987	
346	345	exact	1.000	
347	346	exact	1.000	
348	347	match	0.958	
350	348	match	0.962	
351	349	match	0.852	
352	350	match	0.927	
354	351,352	split_merge	1.000	
356	353	match	0.810	
357	354	match	0.603	
358	355,356	split_merge	0.723	
360	357	match	0.867	
361	358,359	split_merge	0.984	
